SeriesNumber,DumpNumber,EventTriggerID
23231217212512,27,55544
23231217212512,27,56689
23231217212512,27,57350
23231217212512,28,59142
23231217212512,28,59375
23231217212512,29,61016
23231217212512,29,61290
23231217212512,29,61921
23231217212512,29,62149
23231217212512,30,63021
23231217212512,30,63555
23231217212512,31,64986
23231217212512,32,66814
23231217212512,32,67451
23231217212512,33,68962
23231217212512,33,69028
23231217212512,34,70094
23231217212512,34,71662
23231217212512,35,72080
23231217212512,35,72381
23231217212512,35,73549
23231217212512,35,73570
23231217212512,36,73788
23231217212512,36,74725
23231217212512,37,75731
23231217212512,37,76199
23231217212512,37,77125
23231217212512,37,77213
23231217212512,38,77334
23231217212512,38,77460
23231217212512,38,77520
23231217212512,38,78218
23231217212512,39,79224
23231217212512,39,79667
23231217212512,39,80147
23231217212512,39,80318
23231217212512,39,80479
23231217212512,39,80560
23231217212512,40,80929
23231217212512,40,80931
23231217212512,40,80969
23231217212512,40,81269
23231217212512,40,81874
23231217212512,40,82093
23231217212512,40,82360
23231217212512,41,83603
23231217212512,41,83649
23231217212512,42,84723
23231217212512,42,85032
23231217212512,42,85056
23231217212512,42,86143
23231217212512,43,86238
23231217212512,43,86521
23231217212512,43,86607
23231217212512,43,86933
23231217212512,43,87105
23231217212512,43,87940
23231217212512,43,87959
23231217212512,44,88117
23231217212512,44,88634
23231217212512,45,90477
23231217212512,45,90480
23231217212512,45,90574
23231217212512,45,90894
23231217212512,46,92627
23231217212512,46,92756
23231217212512,46,93705
23231217212512,46,93755
23231217212512,47,94908
23231217212512,47,95697
23231217212512,47,95853
23231217212512,48,96155
23231217212512,48,96157
23231217212512,48,97174
23231217212512,48,97230
23231217212512,48,97776
23231217212512,49,98950
23231217212512,49,99032
23231217212512,49,99083
23231217212512,49,99560
23231217212512,49,99563
23231217212512,50,100369
23231217212512,50,100593
23231217212512,50,100747
23231217212512,50,100935
23231217212512,50,101038
23231217212512,50,101795
23231217212512,50,101798
23231217212512,50,101910
23231217212512,52,104269
23231217212512,52,104354
23231217212512,52,104469
23231217212512,52,104643
23231217212512,52,105432
23231217212512,53,106244
23231217212512,53,106343
23231217212512,53,107324
23231217212512,53,107330
23231217212512,54,108509
23231217212512,54,108812
23231217212512,54,108837
23231217212512,54,109099
23231217212512,54,110176
23231217212512,55,110271
23231217212512,55,110487
23231217212512,55,110760
23231217212512,55,110931
23231217212512,56,113170
23231217212512,57,114335
23231217212512,57,114610
23231217212512,57,114613
23231217212512,57,115385
23231217212512,58,117207
23231217212512,58,117328
23231217212512,58,117508
23231217212512,58,117569
23231217212512,59,119346
23231217212512,59,119890
23231217212512,60,120281
23231217212512,60,120719
23231217212512,60,120764
23231217212512,60,120877
23231217212512,60,121011
23231217212512,60,121523
23231217212512,60,122021
23231217212512,60,122112
23231217212512,61,122658
23231217212512,61,123050
23231217212512,61,123184
23231217212512,61,123429
23231217212512,61,123762
23231217212512,62,124609
23231217212512,62,124696
23231217212512,63,126172
23231217212512,63,126371
23231217212512,63,127469
23231217212512,63,127786
23231217212512,64,128435
23231218024511,4,3659
23231218024511,4,4009
23231218024511,5,4686
23231218024511,5,4800
23231218024511,5,4995
23231218024511,5,6283
23231218024511,5,6326
23231218024511,6,6392
23231218024511,6,6665
23231218024511,7,9590
23231218024511,7,9593
23231218024511,8,10815
23231218024511,9,12782
23231218024511,9,12800
23231218024511,9,12804
23231218024511,9,13235
23231218024511,9,13527
23231218024511,9,13630
23231218024511,10,14330
